"lat","lng","year","freq","city","state","state_code","mean_dur"
43.539,-70.4624,2012,1,"saco","maine","ME",NA
43.539,-70.4624,2014,2,"saco","maine","ME",1296030
43.539,-70.4624,2020,1,"saco","maine","ME",60
43.5397,-96.732,1994,1,"sioux falls","south dakota","SD",300
43.5397,-96.732,2000,1,"sioux falls","south dakota","SD",300
43.5397,-96.732,2007,1,"sioux falls","south dakota","SD",120
43.5397,-96.732,2008,4,"sioux falls","south dakota","SD",533.5
43.5397,-96.732,2009,1,"sioux falls","south dakota","SD",300
43.5397,-96.732,2010,4,"sioux falls","south dakota","SD",648510
43.5397,-96.732,2011,2,"sioux falls","south dakota","SD",120
43.5397,-96.732,2012,4,"sioux falls","south dakota","SD",259267.5
43.5397,-96.732,2013,3,"sioux falls","south dakota","SD",864140
43.5397,-96.732,2014,4,"sioux falls","south dakota","SD",405
43.5397,-96.732,2015,11,"sioux falls","south dakota","SD",672.857142857143
43.5397,-96.732,2016,6,"sioux falls","south dakota","SD",843050
43.5397,-96.732,2017,7,"sioux falls","south dakota","SD",91164
43.5397,-96.732,2018,3,"sioux falls","south dakota","SD",4000
43.5397,-96.732,2019,2,"sioux falls","south dakota","SD",1296600
43.5397,-96.732,2020,1,"sioux falls","south dakota","SD",1200
43.5466,-116.8094,2007,1,"marsing","idaho","ID",1500
43.5466,-116.8094,2017,1,"marsing","idaho","ID",1200
43.5489,-89.4658,1971,1,"portage","wisconsin","WI",120
43.5489,-89.4658,2006,1,"portage","wisconsin","WI",864000
43.5489,-89.4658,2008,2,"portage","wisconsin","WI",525
43.5489,-89.4658,2010,1,"portage","wisconsin","WI",172800
43.5489,-89.4658,2013,3,"portage","wisconsin","WI",576260
43.5489,-89.4658,2016,1,"portage","wisconsin","WI",259200
43.5489,-89.4658,2019,1,"portage","wisconsin","WI",120
43.5502,-97.4984,1998,1,"bridgewater","south dakota","SD",300
43.5524,-71.03,2014,1,"sanbornville","new hampshire","NH",600
43.5541,-87.9548,2020,1,"random lake","wisconsin","WI",1500
43.5541,-85.772,2020,1,"white cloud","michigan","MI",270
43.5582,-90.8863,1993,1,"viroqua","wisconsin","WI",120
43.5607,-91.637,2012,1,"spring grove","minnesota","MN",518400
43.5614,-73.6588,2012,1,"bolton landing","new york","NY",180
43.5691,-86.0407,1981,1,"hesperia","michigan","MI",2400
43.5724,-71.4775,1965,1,"laconia","new hampshire","NH",18000
43.5724,-71.4775,2006,1,"laconia","new hampshire","NH",300
43.5724,-71.4775,2007,2,"laconia","new hampshire","NH",255
43.5724,-71.4775,2010,2,"laconia","new hampshire","NH",3600
43.5724,-71.4775,2012,1,"laconia","new hampshire","NH",900
43.5724,-71.4775,2013,2,"laconia","new hampshire","NH",600
43.5724,-71.4775,2014,3,"laconia","new hampshire","NH",640
43.5724,-71.4775,2017,1,"laconia","new hampshire","NH",600
43.5724,-71.4775,2018,1,"laconia","new hampshire","NH",345600
43.5724,-71.4775,2019,1,"laconia","new hampshire","NH",180
43.5782,-90.6381,2008,1,"la farge","wisconsin","WI",180
43.5782,-90.6381,2019,1,"la farge","wisconsin","WI",240
43.5789,-85.2973,2020,1,"canadian lakes","michigan","MI",432000
43.5795,-124.1732,2013,2,"lakeside","oregon","OR",300
43.5795,-124.1732,2015,1,"lakeside","oregon","OR",270
43.5805,-85.4481,2009,1,"stanwood","michigan","MI",120
43.5845,-116.5631,2001,1,"nampa","idaho","ID",30
43.5845,-116.5631,2006,2,"nampa","idaho","ID",345600
