Date.Time,City,State,Shape,Duration,Summary,Posted,Country,pop,lat,long,capital
2013-11-28,Kingston,ON,Circle,300.0,2 Suns? Comet?,2013-12-02,Canada,115695,44.23,-76.5,0
2013-11-19,Milton,ON,Circle,864000.0,"Large white circular light,Approaching the south,of milton ontario,object veered very quickly to the east.",2013-11-20,Canada,23771,43.51,-79.89,0
2013-11-18,Peterborough,ON,Other,1800.0,"Large white light in southern sky.  ((NUFORC Note:  Sighting of Venus, we suspect.  PD))",2013-11-20,Canada,76458,44.3,-78.34,0
2013-11-13,Orangeville,ON,Light,2940.0,Brite light in night sky not from this planet .  ((NUFORC Note:  Sighting of Venus??  PD)),2013-11-20,Canada,34113,43.92,-80.1,0
2013-10-30,Bolton,ON,Cigar,60.0,Large red flashing lights flaying just above tree level.,2013-11-11,Canada,21985,43.88,-79.73,0
2013-10-27,Hamilton,ON,Light,60.0,"Metallic light appears, changes direction and vanishes.",2013-11-11,Canada,661942,43.26,-79.85,0
2013-10-26,Windsor,ON,Sphere,1800.0,20 medium sized orbs that glided from north to north east. The orbs made no sound.,2013-11-11,Canada,281545,42.3,-83.03,0
2013-10-20,Brockville,ON,Disk,,"Brown saucer with red and green lights seen in Brockville, Ontario, Canada.",2017-05-06,Canada,24083,44.61,-75.7,0
2013-10-19,Napanee,ON,Fireball,2700.0,Fireball over Lake Ontario.,2013-10-23,Canada,8301,44.25,-76.95,0
2013-10-17,Cornwall,ON,Other,180.0,freek me out ?,2014-01-16,Canada,48894,45.03,-74.74,0
2013-10-15,Lindsay,ON,Triangle,120.0,"25 meter, low-flying, soundless black triangle drifting slowly, then accelerating to extreme speeds in a zigzag motion.",2015-01-07,Canada,18012,44.35,-78.74,0
2013-10-14,Toronto,ON,Light,1050.0,8 Red Orb Lights over large City of Toronto.,2013-10-23,Canada,4670783,43.65,-79.38,2
2013-10-14,Hawkesbury,ON,Sphere,2592000.0,"One bright-white orb moving erratically over highway 50 in quebec, canada seemed to appear and warp to another point in the sky.",2013-10-23,Canada,12439,45.62,-74.6,0
2013-10-14,Hawkesbury,ON,Sphere,2592000.0,"One bright-white orb moving erratically over highway 50 in quebec ,canada seemed to appear and warp to another point in the sky.",2013-10-23,Canada,12439,45.62,-74.6,0
2013-10-13,Toronto,ON,Fireball,3600.0,Orange fireballs over Lake Ontario.  Geometric shapes.,2013-10-14,Canada,4670783,43.65,-79.38,2
2013-10-11,Windsor,ON,Light,240.0,5 orange lights seen in sky over windsor.,2013-10-14,Canada,281545,42.3,-83.03,0
2013-10-11,Hamilton,ON,Cylinder,,Enlarged still frame pics of the video show strage shapes and strange colors.,2013-10-23,Canada,661942,43.26,-79.85,0
2013-10-05,Toronto,ON,Other,3600.0,LOOKED LIKE FIRE FLY'S PLAYING CATCH IN DA DARK SKY.,2013-10-14,Canada,4670783,43.65,-79.38,2
2013-10-03,Toronto,ON,Oval,216000.0,Oval shaped silent craft flying extremly fast at an almost upward angle on west side of toronto,2013-11-11,Canada,4670783,43.65,-79.38,2
2013-09-25,Kingston,ON,Light,300.0,Unknown Objects Seen Over Easter Ontario_2013.,2013-11-11,Canada,115695,44.23,-76.5,0
2013-09-21,Timmins,ON,Unknown,900.0,"Ufo was seen heading in south direction, stopped and paused for minute or two, turned 90 degree and move right a few thousand feet with",2013-09-30,Canada,33319,48.49,-81.35,0
2013-09-20,Paris,ON,Sphere,900.0,"Saw 2 orange orbs in the NE sky.  Moved close together and moved in a circle. split apart, disappeard. 1 single flew over me, no noise",2013-09-30,Canada,10570,43.2,-80.38,0
2013-09-15,Peterborough,ON,Light,2700.0,BRIGHT white light low in the sky.,2014-02-21,Canada,76458,44.3,-78.34,0
2013-09-13,Toronto,ON,Fireball,180.0,"Silent, glowing orange ball in the sky flying above downtown Toronto",2013-09-30,Canada,4670783,43.65,-79.38,2
2013-09-09,Milton,ON,Fireball,180.0,Massive Bright Orange Fireball in Sky,2013-09-30,Canada,23771,43.51,-79.89,0
2013-09-08,Thunder Bay,ON,Unknown,120.0,bringing dogs outside with freind looked up toward lake suprior toward sleeping giant seen four yellow spere lights then they were in,2013-09-09,Canada,98237,48.42,-89.28,0
2013-09-01,Toronto,ON,Light,,Bright White Light over eastern Toronto.,2013-09-09,Canada,4670783,43.65,-79.38,2
2013-08-31,Windsor,ON,,600.0,"I saw a red, pulsating mass of light travelling with no sound in a straight path across the night sky.",2013-09-09,Canada,281545,42.3,-83.03,0
2013-08-24,Peterborough,ON,Light,3888000.0,Silent Orange Lights over Peterborough.,2013-09-09,Canada,76458,44.3,-78.34,0
2013-08-24,Hamilton,ON,Other,300.0,I've seen satellites before but not west to east ever.,2013-08-30,Canada,661942,43.26,-79.85,0
2013-08-23,London,ON,Fireball,600.0,Boyfriend and I saw bright orange silent fireball like orbs in sky above London Ontario.,2013-10-23,Canada,348681,42.97,-81.24,0
2013-08-23,Barrie,ON,Sphere,180.0,"Barrie, Ontario  For the second night in a row, August 23, 2013, my friend and I observed a very shiny light SE of my city. It appeared",2013-08-30,Canada,198492,44.38,-79.68,0
2013-08-22,Barrie,ON,Other,60.0,Intensely bright rectangular object appears over Barrie skies.,2013-08-30,Canada,198492,44.38,-79.68,0
2013-08-22,Toronto,ON,Changing,360.0,A small circular object appeared to be pulling what resembled about 5 circular balloon shaped objects that manoeuvred like a bunch of b,2013-08-30,Canada,4670783,43.65,-79.38,2
2013-08-17,Port Dover,ON,Sphere,120.0,"Single bright orange sphere/orb seen in Port Dover, Ontario",2013-08-30,Canada,5912,42.78,-80.2,0
2013-08-15,Toronto,ON,Circle,1200.0,Bright blue circular object over Downsview Ontario Canada,2013-08-30,Canada,4670783,43.65,-79.38,2
2013-08-10,Parry Sound,ON,Oval,60.0,Low altitude silent solid fluorescent Orange and Red object over beach in summer.,2014-01-30,Canada,6551,45.33,-80.03,0
2013-08-10,Belleville,ON,Light,60.0,Large light (large star size) moving slow horizontal. had no marker lights.  ((NUFORC Note:  ISS sighting??  PD)),2013-11-11,Canada,66198,44.17,-77.38,0
2013-08-09,Guelph,ON,Circle,120.0,"A  large, round, bright red/orange object drifted across the sky over Guelph, Canada, at 11:00 p.m. on August 9, 2013.",2013-08-30,Canada,117979,43.56,-80.26,0
2013-08-09,Saint Thomas,ON,Fireball,120.0,Sphere like fireball over Saint Thomas On. Canada,2013-08-30,Canada,39398,42.78,-81.19,0
2013-08-09,Acton,ON,Fireball,600.0,Eight lights travelled at seemingly exactly the same distance apart without sound,2013-08-30,Canada,8308,43.63,-80.03,0
2013-08-04,Saint Thomas,ON,Formation,600.0,Orange circles in loose triangle formation,2013-08-30,Canada,39398,42.78,-81.19,0
2013-08-02,Barrie,ON,Sphere,240.0,5 bright red/orange (amber) lights hovering in the sky,2013-08-30,Canada,198492,44.38,-79.68,0
2013-07-24,Cornwall,ON,Circle,300.0,Orange Lights in Cornwall sky.,2013-08-30,Canada,48894,45.03,-74.74,0
2013-07-22,Toronto,ON,Circle,,"Five, bright, red lights observed by two adults and a small child.",2013-07-22,Canada,4670783,43.65,-79.38,2
2013-07-13,Toronto,ON,Light,600.0,"Cluster of orange lights, flying close together head north dispersing, about 7-10 lights.",2013-07-14,Canada,4670783,43.65,-79.38,2
2013-07-13,Kemptville,ON,Light,300.0,3 red orb-like objects flying low and slow in formation,2013-07-22,Canada,4283,45.02,-75.63,0
2013-07-12,Milton,ON,Sphere,259200.0,A greenish whitish sphere crossed low on the horizon just as a plane was flying over it.,2013-07-14,Canada,23771,43.51,-79.89,0
2013-07-12,Toronto,ON,Cylinder,432000.0,"A bright green light in the shape of a cylinder, was heading down to earth, it slowed down and then sprang upward into the sky and disa",2013-07-14,Canada,4670783,43.65,-79.38,2
2013-07-12,Kitchener,ON,Circle,302400.0,5:00 pm Kitchener at Lancaster and Bridgeport area craft seen darting across sky at high speed.,2013-07-14,Canada,414309,43.46,-80.5,0
2013-07-10,London,ON,Light,900.0,6 orange bright lights,2013-07-14,Canada,348681,42.97,-81.24,0
2013-07-10,London,ON,Light,900.0,6 orange lights seen by 2 people,2013-07-14,Canada,348681,42.97,-81.24,0
2013-07-06,Toronto,ON,Sphere,300.0,Bright blue orb in Toronto.,2013-07-14,Canada,4670783,43.65,-79.38,2
2013-07-06,Cornwall,ON,Triangle,1728000.0,"A wonderful aircraft, but spooky.",2013-07-14,Canada,48894,45.03,-74.74,0
2013-07-05,Belleville,ON,Light,,Orange lights in the sky (UFO)!!,2013-07-14,Canada,66198,44.17,-77.38,0
2013-06-29,Dunnville,ON,Light,360.0,"Three ""large"" bright red lights traveling in a southern direction at about 2 minutes intervals.",2013-07-03,Canada,6082,42.91,-79.62,0
2013-06-26,Mount Albert,ON,Circle,120.0,Mount lbert..ontario canada 11:30..northern sky 2-3 minutes...tiny dot.. vey hi up... then to bright color.red orange.,2013-07-05,Canada,2797,44.13,-79.32,0
2013-06-26,Kanata,ON,Circle,60.0,"Fireball in the Ottawa area night sky, 26JUN'13, off toward East.",2013-07-03,Canada,100433,45.34,-75.88,0
2013-06-26,London,ON,Fireball,600.0,Orange spheres (19) moving without sound over old north London (Ontario) seen by 2 people,2013-07-03,Canada,348681,42.97,-81.24,0
2013-06-22,Timmins,ON,Sphere,150.0,"4 red lights moving south to north, silent.",2013-07-03,Canada,33319,48.49,-81.35,0
2013-06-21,Oshawa,ON,Fireball,900.0,"Red fireballs going up, then dwindled into pinkish/red round circulating objects as they directed North",2013-07-14,Canada,251139,43.89,-78.86,0
2013-06-17,Cornwall,ON,Cigar,300.0,UFO sighting june 2013.,2013-07-03,Canada,48894,45.03,-74.74,0
2013-06-15,Alliston,ON,Fireball,0.0,"Looked like large ball of fire, moved slowly horizontal, diminished and winked out",2013-07-03,Canada,10353,44.15,-79.87,0
2013-06-15,Mount Albert,ON,Circle,600.0,"Thre bright lights,turned red and streaked off.",2013-07-03,Canada,2797,44.13,-79.32,0
2013-06-15,Kitchener,ON,Sphere,450.0,"Kitchener, ON: 4 Black Orbs w/ Orange Lights; Hovering, Interacting, Moving as a unit, no sound, flew straight up",2013-07-03,Canada,414309,43.46,-80.5,0
2013-06-12,Windsor,ON,Light,300.0,White light splits in two and fly in opposite directions.,2014-01-30,Canada,281545,42.3,-83.03,0
2013-06-07,Brantford,ON,Fireball,120.0,"Me and friend saw 4 orange round shaped, what looked like fireballs in the sky. They hovered for about 2 mins then disappeared behind c",2013-07-14,Canada,87972,43.15,-80.26,0
2013-06-07,Barrie,ON,Sphere,,Two orange shaped spheres moving in formation stopped in mid air the continued on very fast but without a sound!! This is not a joke !!,2013-07-03,Canada,198492,44.38,-79.68,0
2013-06-05,Toronto,ON,Cylinder,3600.0,Really really bizarre,2013-07-03,Canada,4670783,43.65,-79.38,2
2013-06-04,Beeton,ON,Formation,,"Beeton, Ontario.",2013-07-03,Canada,4088,44.11,-79.79,0
2013-06-03,Oshawa,ON,Light,300.0,Three Low-Slow Bright White.  Single Lights.,2013-07-03,Canada,251139,43.89,-78.86,0
2013-06-01,Drayton,ON,Light,600.0,"Four orange lights moving steadily across the night sky, no sound,  Flying at approx. 3 km altitude, four witnesses.",2013-06-02,Canada,1626,43.75,-80.67,0
2013-06-01,Sarnia,ON,Fireball,7776000.0,Fireball like object ascending then turned abruptly and hesitates during flight path.,2013-06-02,Canada,84053,42.99,-82.4,0
2013-05-31,Kingston,ON,Fireball,120.0,Orange/red fireball in SE Ontario.,2013-06-02,Canada,115695,44.23,-76.5,0
2013-05-30,London,ON,Circle,,Flew in straight line then flew upwards from one point.,2013-06-02,Canada,348681,42.97,-81.24,0
2013-05-27,Thunder Bay,ON,Light,90.0,Orange light moving then fading.,2013-06-02,Canada,98237,48.42,-89.28,0
2013-05-20,Oshawa,ON,Sphere,,"Two spherical lights moving together, one in line with the other, at an immense speed.",2013-06-02,Canada,251139,43.89,-78.86,0
2013-05-19,Toronto,ON,Light,1728000.0,2 oranges lights going across the sky at constant speed not an aircraft or fireworks,2013-06-02,Canada,4670783,43.65,-79.38,2
2013-05-18,Beeton,ON,Oval,259200.0,"Large Orange -full moon like flash in North East sky, near Beeton Ontario",2013-06-02,Canada,4088,44.11,-79.79,0
2013-05-04,London,ON,Cylinder,3888000.0,The craft flew faster than anything ive ever sen and made no noise,2013-07-03,Canada,348681,42.97,-81.24,0
2013-05-04,London,ON,Fireball,3888000.0,Red fireball seen over london ontario canada may 4th 2013,2013-07-03,Canada,348681,42.97,-81.24,0
2013-05-03,Kingston,ON,Sphere,300.0,((HOAX??))  Large stationary black sphere noticed then evaporates into thin air.,2014-08-08,Canada,115695,44.23,-76.5,0
