"lat","lng","freq","city","state","state_code","mean_dur"
39.7445,-105.5003,2,"idaho springs","colorado","CO",510
39.7452,-77.0892,1,"littlestown","pennsylvania","PA",259200
39.7459,-75.3117,3,"swedesboro","new jersey","NJ",130
39.7461,-122.1856,16,"orland","california","CA",504412
39.7469,-94.2364,5,"cameron","missouri","MO",779100
39.7471,-83.8109,2,"cedarville","ohio","OH",120
39.7485,-75.6953,4,"pike creek","delaware","DE",219000
39.7493,-89.5455,2,"rochester","illinois","IL",12600
39.7499,-77.3805,3,"carroll valley","pennsylvania","PA",1152300
39.7506,-84.6343,3,"eaton","ohio","OH",140
39.7507,-105.0626,1,"edgewater","colorado","CO",60
39.7512,-99.321,6,"phillipsburg","kansas","KS",367.5
39.7525,-77.5822,9,"waynesboro","pennsylvania","PA",547910.888888889
39.7528,-76.5925,5,"stewartstown","pennsylvania","PA",5480
39.7534,-90.6069,1,"naples","illinois","IL",NA
39.7535,-79.0843,2,"salisbury","pennsylvania","PA",270
39.755,-75.7331,1,"north star","delaware","DE",NA
39.7558,-121.6063,6,"paradise","california","CA",216252
39.7575,-121.8152,37,"chico","california","CA",3032328.52941176
39.7599,-94.821,7,"st. joseph","missouri","MO",432067.857142857
39.7603,-86.5076,1,"danville","indiana","IN",2592000
39.7603,-86.3917,5,"avon","indiana","IN",72680
39.7612,-75.4077,1,"pedricktown","new jersey","NJ",NA
39.7621,-104.8759,226,"denver","colorado","CO",378897.443349754
39.7665,-87.2295,1,"rockville","indiana","IN",1296000
39.7666,-75.0614,4,"turnersville","new jersey","NJ",216270
39.7669,-75.4982,1,"bellefonte","delaware","DE",180
39.771,-89.6538,46,"springfield","illinois","IL",425945.5
39.7714,-76.6799,6,"shrewsbury","pennsylvania","PA",777774
39.7728,-105.1029,13,"wheat ridge","colorado","CO",69792
39.7748,-105.0567,1,"mountain view","colorado","CO",7776000
39.7752,-120.6109,1,"blairsden","california","CA",864000
39.7771,-86.1458,180,"indianapolis","indiana","IN",416237.11971831
39.7783,-75.6049,2,"greenville","delaware","DE",1296360
39.7797,-84.1998,62,"dayton","ohio","OH",650282.181818182
