"","City","State","Sightings","Airport Count"
"200","Arvada","CO",47,0
"201","Davie","FL",47,0
"202","Milford","CT",47,0
"203","Oxnard","CA",47,1
"204","Springfield","OR",47,0
"205","St. George","UT",47,0
"206","Wenatchee","WA",47,1
"207","Albany","NY",46,1
"208","Chattanooga","TN",46,1
"209","Erie","PA",46,1
"210","Katy","TX",46,0
"211","Lancaster","PA",46,1
"212","Oak Lawn","IL",46,0
"213","Renton","WA",46,1
"214","Roanoke","VA",46,0
"215","St. Paul","MN",46,1
"216","Tallahassee","FL",46,1
"217","Buckeye","AZ",45,1
"218","Coral Springs","FL",45,0
"219","Duluth","MN",45,1
"220","Lansing","MI",45,1
"221","Meridian","ID",45,0
"222","Springfield","IL",45,1
"223","Albany","OR",44,0
"224","Fredericksburg","VA",44,0
"225","Garden Grove","CA",44,0
"226","Largo","FL",44,0
"227","San Tan Valley","AZ",44,0
"228","Palmdale","CA",43,1
"229","Port Charlotte","FL",43,0
"230","Santa Ana","CA",43,2
"231","Wilmington","DE",43,1
"232","Worcester","MA",43,1
"233","Grants Pass","OR",42,0
"234","Harrisburg","PA",42,2
"235","Independence","MO",42,0
"236","Kent","WA",42,0
"237","O'Fallon","MO",42,0
"238","Oceanside","CA",42,1
"239","Plano","TX",42,0
"240","Queen Creek","AZ",42,0
"241","Sanford","FL",42,1
"242","Santa Cruz","CA",42,0
"243","South Bend","IN",42,1
"244","Spring Hill","FL",42,0
"245","Warwick","RI",42,0
"246","Farmington Hills","MI",41,0
"247","Hillsboro","OR",41,1
"248","Visalia","CA",41,1
"249","Winston-Salem","NC",41,0
"250","Augusta","GA",40,1
"251","Concord","NH",40,0
"252","Great Falls","MT",40,1
"253","Kingman","AZ",40,0
"254","Little Rock","AR",40,1
"255","Lynnwood","WA",40,0
"256","Providence","RI",40,1
"257","Simi Valley","CA",40,0
"258","Spokane Valley","WA",40,0
"259","Surfside Beach","SC",40,0
"260","Twin Falls","ID",40,1
"261","Wasilla","AK",40,1
"262","York","PA",40,0
"263","Cambridge","OH",39,0
"264","Fairfax","VA",39,0
"265","Lubbock","TX",39,1
"266","Marysville","WA",39,0
"267","Ocean City","MD",39,0
"268","Pawleys Island","SC",39,0
"269","Torrance","CA",39,1
"270","Warren","MI",39,0
"271","Boynton Beach","FL",38,0
"272","Elk Grove","CA",38,0
"273","Kalispell","MT",38,1
"274","Kirkland","WA",38,0
"275","Meriden","CT",38,1
"276","Mobile","AL",38,2
"277","Norfolk","VA",38,2
"278","Round Rock","TX",38,0
"279","St. Charles","MO",38,0
"280","Tinley Park","IL",38,0
"281","Amarillo","TX",37,1
"282","Chico","CA",37,1
"283","Coeur d'Alene","ID",37,1
"284","Goodyear","AZ",37,1
"285","Greeley","CO",37,1
"286","Hagerstown","MD",37,1
"287","Manchester","NH",37,0
"288","New Port Richey","FL",37,0
"289","North Port","FL",37,0
"290","Overland Park","KS",37,0
"291","Salinas","CA",37,1
"292","Snohomish","WA",37,0
"293","Walla Walla","WA",37,1
"294","Whittier","CA",37,0
"295","Ann Arbor","MI",36,1
"296","Bridgeport","CT",36,0
"297","Clermont","FL",36,0
"298","Fairfield","CA",36,1
"299","Fishers","IN",36,0
"300","Greenville","SC",36,3
"301","Gresham","OR",36,0
"302","Newark","DE",36,0
"303","Orem","UT",36,0
"304","Palm Desert","CA",36,0
"305","Rancho Cucamonga","CA",36,0
